,chapter,verse,translation,interpretation,orig
0,1,1,"In the name of God, the Most Gracious, the Most Merciful.","This verse is a reminder to begin all actions with the remembrance of God, who is the source of all mercy and grace. It signifies humility, seeking guidance, and acknowledging one's dependence on the Divine before undertaking any task or endeavor.",بسم الله الرحمن الرحيم
1,1,2,"Praise be to Allah, the Lord of the worlds.","This verse affirms the praise and gratitude that is due to Allah, who is the Sustainer and Cherisher of all the worlds and everything that exists in the universe. It emphasizes Allah's sovereignty, power, and worthiness of worship as the sole Creator and Nurturer of all creation.",الحمد لله رب العالمين
2,1,3,"The Most Merciful, the Most Compassionate","These are two of the most beautiful names and attributes of Allah. They highlight His infinite mercy and compassion towards all of His creation. ""The Most Merciful"" refers to Allah's general mercy that extends to all beings, while ""The Most Compassionate"" refers to His special and enduring mercy towards the believers.",الرحمن الرحيم
3,1,4,Master of the Day of Recompense,This verse means that Allah alone is the Sovereign Master on the Day of Judgment when all people will be judged for their deeds and held accountable. It signifies Allah's absolute authority and control over the final reckoning of humanity.,مالك يوم الدين
4,1,5,You alone we worship and You alone we ask for help,"This verse emphasizes the core principles of Islamic faith: worshipping Allah alone and seeking help only from Him. It teaches Muslims to devote all acts of worship solely to Allah and to rely on Him for assistance in all affairs, rejecting any form of polytheism or seeking help from false deities.",إياك نعبد وإياك نستعين
5,1,6,Guide us to the straight path,"This verse is a supplication to Allah, asking for guidance towards the path of righteousness, truth, and salvation. It acknowledges our need for divine guidance to stay on the right course in life and avoid deviating into misguidance or wrongdoing. The ""straight path"" represents the way of living according to Allah's commands and seeking His pleasure.",اهدنا الصراط المستقيم
6,1,7,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.","The interpretation is that Allah is guiding the believers to follow the straight path, which is the path of those whom Allah has blessed with His favors, such as the Prophets, the truthful, the martyrs, and the righteous. This path is distinct from the path of those who have earned Allah's anger, like the disbelievers, and those who have gone astray, like the hypocrites and misguided people. It is a prayer to Allah to guide the believers to the path of truth and righteousness.",صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين
7,2,1,"Alif, Lam, Mim.","These are some of the unique, abbreviated letters (Al-Muqatta'aat) found at the beginning of certain chapters in the Qur'an. Their precise meanings are known only to Allah. However, scholars have offered interpretations suggesting they may serve as an introduction to draw attention to the divine origin of the Qur'an, or as an oath emphasizing the truthfulness of the revelations that follow.",الم
8,2,2,"That is the Book about which there is no doubt, a guidance for those conscious of Allah.","This verse affirms the divine origin and authority of the Qur'an, stating that it is a book free from any doubt or falsehood. It serves as a guide for those who have taqwa (consciousness of Allah), leading them to the straight path and providing them with wisdom and guidance in all aspects of life.",ذلك الكتاب لا ريب فيه هدى للمتقين
9,2,3,"Those who believe in the unseen, establish prayer, and spend out of what We have provided for them","This verse describes the characteristics of the believers (al-mu'minun). They have faith in the unseen realities, such as Allah, the angels, the revealed books, and the Day of Judgment (""believe in the unseen""). They are steadfast in performing the obligatory prayers (""establish prayer""). And they spend from the provisions Allah has granted them in charitable ways (""spend out of what We have provided for them""). This verse highlights three essential qualities of true believers: faith, worship, and charity.",الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون
10,2,4,"And those who believe in what has been revealed to you [Muhammad] and what was revealed before you, and they are certain of the Hereafter.","This verse refers to the true believers who have faith in the Qur'an revealed to Prophet Muhammad, as well as the previous scriptures revealed to earlier Prophets. They also firmly believe in the existence of the Hereafter or the life after death, where they will be held accountable for their deeds and receive the ultimate reward or punishment.",والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون
11,2,5,"Those are upon guidance from their Lord, and it is those who are the successful.","This verse indicates that those who follow the guidance from their Lord, Allah, are the ones who have attained true success and felicity in this life and the Hereafter. They are rightly guided and will be rewarded for their faith and righteous deeds.",أولئك على هدى من ربهم وأولئك هم المفلحون
12,2,6,"Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe.","This verse indicates that those who have rejected faith and disbelieved in God and His revelations will not benefit from being warned or advised, as their hearts are sealed against guidance. Their stubborn rejection of the truth renders them unable to accept faith, regardless of the efforts made to guide them. Their disbelief has become entrenched, and no amount of warning or exhortation will change their stance. The interpretation emphasizes the futility of trying to convince those whose minds are closed to the message of truth.",إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون
13,2,7,"Allah has set a seal upon their hearts and upon their hearing, and over their vision is a veil. And for them is a great punishment.","This verse indicates that Allah has sealed the hearts, hearing, and vision of those who persistently reject faith and truth. Their spiritual faculties are impaired, leaving them unable to comprehend or accept guidance. As a consequence of their willful rejection, they will face a severe punishment.",ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم
14,2,8,"And among the people are those who say, 'We believe in Allah and the Last Day,' but they are not believers.","This verse refers to the hypocrites who outwardly profess belief in Allah and the Day of Resurrection, but their faith is merely lip service and not a sincere conviction. Their words do not match their actions, and their supposed ""belief"" is merely a facade to blend in with the Muslim community. True faith requires sincere belief accompanied by righteous deeds, which these hypocrites lack.",ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين
15,2,9,"They seek to deceive Allah and those who believe, but they deceive none but themselves, though they perceive it not.","This verse refers to the hypocrites who outwardly profess faith but inwardly harbor disbelief and deception. They think they can fool Allah and the believers, but in reality, they are only deceiving themselves. Their deception is futile, as Allah knows what is in their hearts, and they are only harming themselves by adopting this hypocritical stance. The verse warns against such insincerity and self-deception, emphasizing the importance of having true faith and sincerity in one's beliefs and actions.",يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون
16,2,10,"In their hearts is a disease, and Allah has increased them in disease; and for them is a painful punishment because they used to lie.","This verse refers to the hypocrites who outwardly professed faith but inwardly harbored doubts and disbelief. Their hearts were diseased with hypocrisy and denial of the truth. As a result of their persistent rejection of faith, Allah increased their spiritual sickness and misguidance. They will face a painful punishment in the Hereafter for their lies and false claims of belief.",في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون
17,2,11,"And when it is said to them, 'Do not cause corruption on the earth,' they say, 'We are but reformers.'","This verse refers to the hypocrites and wrongdoers who claim to be righteous and working for the betterment of society, when in reality their actions spread mischief and corruption on earth. They delude themselves into thinking that their misguided ways are justified and that they are ""reformers,"" while in truth, they are the opposite of what they claim to be.",وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون
18,2,12,"Unquestionably, it is they who are the corrupters, but they are not aware.","This verse highlights the irony of those who spread corruption and mischief on earth, yet they fail to recognize their own destructive behavior. It implies that their actions are driven by ignorance or a lack of self-awareness, causing them to remain oblivious to the harm they inflict upon themselves and others. The verse serves as a reminder to reflect on one's deeds and strive for righteousness, lest one becomes a source of corruption without even realizing it.",ألا إنهم هم المفسدون ولكن لا يشعرون
19,2,13,"And when it is said to them, ""Believe as the people have believed,"" they say, ""Should we believe as the foolish have believed?"" Unquestionably, it is they who are the foolish, but they do not know.","This verse criticizes the arrogant attitude of those who refuse to believe despite clear evidence. They mock the believers, considering them foolish, while in reality it is they who lack understanding and wisdom. Their arrogance and closed-mindedness prevent them from recognizing the truth, even when it is presented to them clearly. The verse highlights the irony of their situation, where they consider themselves wise but are actually the foolish ones.",وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ألا إنهم هم السفهاء ولكن لا يعلمون
20,2,14,"And when they meet those who believe, they say, ""We believe""; but when they are alone with their evil ones, they say, ""Indeed, we are with you; we were only mockers.""","This verse refers to the hypocrites who outwardly profess faith when in the company of believers, but inwardly reject it and mock it when alone with their disbelieving associates. It highlights their duplicitous nature and lack of sincerity in their claimed belief, as they are merely mocking and ridiculing the believers behind their backs.",وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون
21,2,15,"Allah mocks at them and prolongs them in their transgression, wandering blindly.","This verse suggests that Allah allows the disbelievers to persist in their arrogance and sinful ways, while they remain heedless and oblivious to the truth. Their continued defiance and rejection of faith is a form of mockery from Allah, as He gives them respite to indulge in their transgressions, yet they remain spiritually blind and lost in misguidance.",الله يستهزئ بهم ويمدهم في طغيانهم يعمهون
22,2,16,"Those are the ones who have bought error in exchange for guidance, so their transaction has brought no profit, nor were they guided.","This verse refers to those who have chosen misguidance over the true guidance revealed by Allah. They have exchanged the truth for falsehood, and this ""trade"" has brought them no benefit or profit in the Hereafter. Instead of being rightly guided, they have gone astray due to their choice of disbelief over faith.",أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين
23,2,17,"Their example is like one who kindled a fire, and when it illuminated what was around him, Allah took away their light and left them in darkness, unable to see.","This verse compares the disbelievers to someone who lights a fire to gain light and warmth. However, as soon as the fire illuminates the surroundings, Allah takes away the light, leaving them in utter darkness, unable to perceive anything. This metaphor signifies that the disbelievers initially received guidance from Allah, but when they rejected it, Allah took away that light of guidance, leaving them in spiritual blindness and ignorance.",مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون
24,2,18,"Deaf, dumb, and blind - so they will not return [to the right path].","This verse describes the spiritual state of those who reject faith and guidance. They are metaphorically deaf, unable to hear the truth; dumb, unable to speak the truth; and blind, unable to see the truth. As a result, they will not return to the right path or embrace faith.",صم بكم عمي فهم لا يرجعون
25,2,19,"Or [they are] like a rainstorm from the sky within which is darkness, thunder and lightning. They put their fingers in their ears against the thunderclaps in dread of death. But Allah is encompassing of the disbelievers.","This verse uses a vivid metaphor to describe the state of the disbelievers when faced with the truth of Islam. They are likened to people caught in a terrifying rainstorm with darkness, thunder, and lightning. Just as people instinctively cover their ears to protect themselves from the deafening thunderclaps out of fear of death, the disbelievers reject the message of Islam and turn away from it due to their arrogance and stubbornness. However, Allah encompasses and has full knowledge of the disbelievers, and they cannot escape His plan and justice.",أو كصيب من السماء فيه ظلمات ورعد وبرق يجعلون أصابعهم في آذانهم من الصواعق حذر الموت والله محيط بالكافرين
26,2,20,"The lightning almost snatches away their sight. Every time it flashes for them, they walk therein, and when darkness covers them, they stand still. And if Allah willed, He could have taken away their hearing and their sight. Indeed, Allah is over all things competent.","This verse describes the state of the disbelievers who are confused and unable to find the right path. The lightning symbolizes the brief moments of guidance that come to them, but they are unable to benefit from it due to their arrogance and stubbornness. When the light of guidance comes, they try to walk in it, but when it disappears, they stand still, unable to move forward. The verse emphasizes that Allah has complete power over their senses and could have taken them away if He willed, leaving them in complete darkness and confusion. It serves as a warning to those who reject faith and guidance.",يكاد البرق يخطف أبصارهم كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وأبصارهم إن الله على كل شيء قدير
27,2,21,"O mankind! Worship your Lord, who created you and those before you, so that you may become righteous.","This verse commands all people to worship and obey Allah alone, who created them and all the previous generations. The purpose of worshipping Allah is to attain righteousness and piety, which means having consciousness of Allah, following His commands, and avoiding His prohibitions.",يا أيها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون
28,2,22,"It is He who has made the earth a resting place for you and the sky a canopy, and has sent down water from the sky and thereby brought forth fruits for your sustenance. So do not set up rivals to Allah, while you know [there is nothing similar to Him].","Allah reminds us of His favors upon us by creating the earth as a resting place, the sky as a protective ceiling, and sending down rain to produce fruits for our sustenance. He warns us against associating partners with Him in worship, since we know that He is the sole Creator and Sustainer deserving of worship.",الذي جعل لكم الأرض فراشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرات رزقا لكم فلا تجعلوا لله أندادا وأنتم تعلمون
29,2,23,"And if you are in doubt about what We have sent down upon Our Servant [Muhammad], then produce a surah the like thereof and call upon your witnesses other than Allah, if you should be truthful.","This verse challenges the disbelievers to produce a chapter like the Qur'an if they doubt its divine origin. It emphasizes the inimitable nature of the Qur'an and that it is beyond human capability to produce something similar, even with the help of others besides Allah. This establishes the Qur'an as a miracle and proof of the truthfulness of Prophet Muhammad's message.",وإن كنتم في ريب مما نزلنا على عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صادقين
30,2,24,"But if you do not - and you will never be able to - then guard yourselves against the Fire whose fuel is men and stones, prepared for the disbelievers.","If you do not believe in Allah's Oneness and obey His commands, which you will never be able to fulfill completely, then fear the punishment of Hellfire which is fueled by men and stones, and was prepared for those who disbelieve in Allah and reject His revelations.",فإن لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة أعدت للكافرين
